Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA,AAPL,MSFT,NVDA
Date,,,,,,,,,,,,,,,
2025-11-14,271.9048156738281,506.96923828125,189.92774963378906,275.44821996704485,508.38031503091224,190.76667594021126,269.10002929321837,494.30942559248354,180.34996953708986,270.54732197227213,495.0944623167857,182.62706393415107,47431300,28505700,186591900
2025-11-17,266.9639892578125,504.296142578125,186.36231994628906,269.98836893107386,508.8970088955905,188.75925679396335,265.237217022597,501.7323929449627,184.08522536919267,268.3214829895084,505.2501227292945,185.73311754704963,45018300,19092800,173628900
2025-11-18,266.9440612792969,490.6824035644531,181.12899780273438,270.2079864201871,499.8145698875434,184.5646186262563,264.8279974843966,483.71651040889276,179.42116916755387,269.48932037088264,492.2524466910109,183.1464291447985,45677300,33815100,213598900
2025-11-19,268.06195068359375,484.0543518066406,186.28240966796875,271.7051756343288,492.0735713081103,187.62069907956393,265.00762791735707,479.79134202204426,182.5971076589588,265.0375710636542,487.0156083775533,184.5546024199349,40424500,23245300,247246400
2025-11-20,265.7562561035156,476.308837890625,180.40989685058594,274.91922505965954,491.38172816347884,195.7503316108911,265.42688147061517,473.39183555424523,179.62090987236718,270.327749378444,490.525525238351,195.70039225393623,45823600,26802500,343504800
2025-11-21,270.98651123046875,470.0268249511719,178.6521453857422,272.8230952896135,476.796695003642,184.32490281868388,265.17732758833057,466.19388806310616,172.70971237567008,265.4568071090486,476.3785437287191,181.00913979899244,59030800,31769200,346926200
2025-11-24,275.4083251953125,471.89849853515625,182.31747436523438,276.4863089537433,474.7856351712577,183.26626122561635,270.397615191446,465.94500021095376,176.25519889972114,270.397615191446,472.8940649877621,179.2613745727385,65585800,34421000,256618300
2025-11-25,276.4563903808594,474.8752136230469,177.593505859375,279.8600705608694,477.0256407210385,177.9330691207534,274.73957871594786,462.82888433135173,169.3340356551,274.75953066216096,471.9681767111092,174.68720886729724,46914200,28019800,320600300
2025-11-26,277.0352783203125,483.3475341796875,180.03036499023438,279.01161742605893,486.14507360501653,182.67699835309762,276.1170014953278,479.06661039650686,178.01294919921247,276.44637611579356,484.1539406114854,181.39863013804072,33431400,25709100,183852000
2025-11-28,278.3328857421875,489.82867431640625,176.7745361328125,278.4826014787427,490.44592067381114,179.0616124091028,275.4781737009374,484.49242217644115,176.27517303639212,276.7458380127342,485.4382224868377,178.7819702942556,20135600,14386700,121332800
2025-12-01,282.57501220703125,484.5820007324219,179.69081115722656,282.89442609469603,487.68816317334665,180.07033197943204,275.62792768573877,482.5012705124726,173.45875435362808,277.4944549964911,486.27447583839387,174.5373804488289,46587700,23964000,188131000
2025-12-02,285.6592712402344,487.82757568359375,181.22886657714844,286.86701880065203,491.312058367048,185.4235136530611,282.10587559562896,484.16389832530854,179.7707195907086,282.47518456741903,484.56211884124775,181.52847225165078,53669500,19562700,182632200
2025-12-03,283.623046875,475.6119689941406,179.3612518310547,288.0847586222564,482.09308589504883,182.21760964702736,282.77461708045536,473.0931871020635,178.88186747602086,285.6692634925469,474.2082166599713,180.84935949817796,43538700,34615100,165138000
2025-12-04,280.179443359375,478.70819091796875,183.15660095214844,284.20196835267484,479.1860737742951,184.29521152983364,278.07334059490756,474.377470578239,179.7407692190929,283.5731318378766,477.6329924690825,181.39873533031871,43989100,22318200,167364900
2025-12-05,278.26300048828125,481.01788330078125,182.1877899169922,280.6186397013617,481.2568095233099,184.43504894381925,277.53434330937836,476.7568601661199,180.6896172324408,280.01974631085085,480.3807061976695,183.66598269849337,47265800,22608700,143971100
2025-12-08,277.3746643066406,488.8430480957031,185.323974609375,279.15136205700173,490.11737199051475,187.7709870845105,275.6378704438954,482.2325023858298,182.17780264974235,277.6142094762677,482.74025101921535,182.41751577930148,38211800,21965900,204378100
2025-12-09,276.66595458984375,489.8385925292969,184.7446746826172,279.5106752769474,489.93815525049575,185.4937610485011,276.40645748061854,486.33420957194573,183.09669077375298,277.64414811825674,486.93155551686203,185.33395229946427,32193300,14696100,144719700
2025-12-10,278.26300048828125,476.43829345703125,183.55612182617188,279.2312028389952,482.10306917330496,185.2540478736652,275.92734368017386,472.9737111601482,181.8182359713298,277.23491184461454,481.88404333185355,184.74467463147755,33038300,35756200,162785400
2025-12-11,277.514404296875,481.3265075683594,180.70957946777344,279.07150890817053,483.8751552220924,181.09911899111663,273.3022288840155,473.750231167373,176.40483245042134,278.5824273392719,474.51683677020293,180.060377409269,33248000,24669200,182136600
2025-12-12,277.7639465332031,476.4084167480469,174.80679321289062,278.70220580092337,480.31105063829824,182.59729422559735,276.30666253778065,474.22812377070755,174.40727135263347,277.38464634485007,477.69270598810584,180.88937065842447,39532900,21248100,204274900
2025-12-15,273.6016540527344,472.7148742675781,176.07522583007812,279.63046152672615,478.588710310573,178.20263580820242,272.33402020742307,470.42505317808707,174.81676632707214,279.63046152672615,477.97146396596463,177.72322484137152,50409100,23727700,164775600
2025-12-16,274.1007385253906,474.2779235839844,177.5034942626953,274.9891026980292,475.7712732838117,178.27256047932946,271.2859911871425,468.79234263095657,174.686922405521,272.3140798989353,469.8177748762136,176.04526619844617,37648600,20705600,148588100
2025-12-17,271.33587646484375,474.00909423828125,170.73175048828125,275.6478724530811,477.8718969329872,175.91543007880585,271.13626563598973,472.8940646732686,170.10251312474713,274.50001118897205,474.79560024235434,175.88546784627562,50138700,24527200,222775500
2025-12-18,271.68524169921875,481.8342590332031,173.9278564453125,273.12257373871984,487.4293375934554,175.93540231223645,266.4549687260805,475.7712630284666,171.6106906687844,273.1025913325419,476.06992080908344,174.3173807251694,51630700,28573500,176096000
2025-12-19,273.1625061035156,483.7656555175781,180.76953125,274.09077415448866,485.68709144559693,181.22896236326454,269.399477884542,480.35083955461556,176.12518653595592,271.6453053723066,485.1992432324443,176.4547863729682,144632000,70836100,324925900
2025-12-22,270.4674987792969,482.7701110839844,183.4662322998047,273.37210596231955,486.5632169440421,183.935660967629,270.00836035897595,480.5499868948874,182.1278683380167,272.3539780142796,483.9647726311972,183.6959478478248,36571800,16963000,129064400
2025-12-23,271.85491943359375,484.6915283203125,188.97952270507812,271.99467443806464,485.66716398872717,189.09937165158402,269.06012395403746,482.59086732909867,182.67719635774475,270.3377490962612,482.8298239351052,182.74711840334103,29642000,14683600,174873600
2025-12-24,273.3022155761719,485.8563232421875,188.38023376464844,274.9192064044749,486.99128356758627,188.67987134928,271.69521595033444,482.680463867149,186.36269028434322,271.8349404799371,483.5267014178325,187.71105179508496,17910600,5855900,65528500
2025-12-26,272.8929748535156,485.5476989746094,190.2978973388672,274.859322715931,485.9558848600665,192.45526970950266,272.35396775197984,483.8054577080926,187.7709805748158,273.65157518449314,484.5521325365998,189.68863982420257,21521800,8842200,139740300
2025-12-29,273.2523498535156,484.9404296875,187.99070739746094,273.8512128461511,486.1848877649252,188.53004285167208,271.8449608988494,482.0333622504328,185.68352392965699,272.1843267483383,482.71034015280554,187.4813341773615,23715200,10893400,120006100
2025-12-30,272.5735778808594,485.3187255859375,187.31153869628906,273.5717234473003,487.5089534635432,188.75978454971104,271.77507361210075,483.3474931520442,186.70228116711607,272.304089543875,483.77557941756965,188.01069817319677,22139600,13944500,97687300
2025-12-31,271.3558349609375,481.4758605957031,186.27279663085938,273.17246717497864,485.97584057107747,190.32784810299728,271.24605357156486,481.15727202744546,186.26281429981768,272.553621806917,485.6771523949816,189.33906392286715,27293600,15601600,120100500
2026-01-02,270.5074157714844,470.84320068359375,188.6199493408203,277.32473598417806,482.5112407273309,192.69496568024334,268.5011336129586,468.07552715971417,188.03065649528438,271.75509761912826,482.24244872265706,189.60873357074172,37838100,25571600,148240500
